Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
What privilege should a user be granted to change permissions for new objects in a managed access schema?,multiple-choice,A. Grant the OWNERSHIP privilege on the schema.,B. Grant the OWNERSHIP privilege on the database.,C. Grant the MANAGE GRANTS global privilege.,D. Grant ALL privileges on the schema.,,,,,,,,,,,,1,"It should be A because as both a & c answer are correct, the 'minimum' impacting option is Ownership
https://docs.snowflake.com/en/sql-reference/sql/create-schema CREATE SCHEMA  WITH MANAGED ACCESS Specifies a managed schema. Managed access schemas centralize privilege management with the schema owner.  In regular schemas, the owner of an object (i.e. the role that has the OWNERSHIP privilege on the object) can grant further privileges on their objects to other roles. In managed schemas, the schema owner manages all privilege grants, including future grants, on objects in the schema. Object owners retain the OWNERSHIP privileges on the objects; however, only the schema owner can manage privilege grants on the objects.",
What happens when a Data Provider revokes privileges to a share on an object in their source database?,multiple-choice,A. The object immediately becomes unavailable for all Data Consumers.,B. Any additional data arriving after this point in time will not be visible to Data Consumers.,C. The Data Consumers stop seeing data updates and become responsible for storage charges for the object.,D. A static copy of the object at the time the privilege was revoked is created in the Data Consumers account.,,,,,,,,,,,,1,"A is correct
Correct answer
Answer correct Revokes access privileges for databases and other supported database objects (schemas, tables, and views) from a share. Revoking privileges on these objects effectively removes the objects from the share, disabling access to the objects granted via the database role in all consumer accounts that have created a database from the share.",
Which command can be used to load data into an internal stage?,multiple-choice,A. LOAD,B. COPY,C. GET,D. PUT,,,,,,,,,,,,4,"D is the correct answer
Option D as per  https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage#types-of-internal-stages",
What is the MINIMUM Snowflake edition required to use the periodic rekeying of micro-partitions?,multiple-choice,A. Enterprise,B. Business Critical,C. Standard,D. Virtual Private Snowflake,,,,,,,,,,,,1,"Enterprise Edition Feature Periodic rekeying requires Enterprise Edition (or higher). To inquire about upgrading, please contact Snowflake Support  https://docs.snowflake.com/en/user-guide/security-encryption-manage.html#label-periodic-rekeying
Answer is Enterprise https://docs.snowflake.com/en/user-guide/security-encryption-manage.html#label-periodic-rekeying",
Which stage type can be altered and dropped?,multiple-choice,A. Database stage,B. External stage,C. Table stage,D. User stage,,,,,,,,,,,,2,"The answer is correct as we cannot drop the stage associated with a table or user; only named stages (internal or external) can be dropped.
https://docs.snowflake.com/en/user-guide/data-load-local-file-system-create-stage",
Which Snowflake object enables loading data from files as soon as they are available in a cloud storage location?,multiple-choice,A. Pipe,B. External stage,C. Task,D. Stream,,,,,,,,,,,,1,"I think A
A. https://docs.snowflake.com/en/user-guide/data-load-snowpipe-intro.html",
"A user is loading JSON documents composed of a huge array containing multiple records into Snowflake. The user enables the STRIP_OUTER_ARRAY file format option.

What does the STRIP_OUTER_ARRAY file format do?",multiple-choice,A. It removes the last element of the outer array.,B. It removes the outer array structure and loads the records into separate table rows.,C. It removes the trailing spaces in the last element of the outer array and loads the records into separate table columns.,D. It removes the NULL elements from the JSON object eliminating invalid data and enables the ability to load the records.,,,,,,,,,,,,2,"https://cloudyard.in/2021/05/snowflake-strip_outer_array-in-json/
STRIP_OUTER_ARRAY, Removes the outer set of square brackets [ ] when loading the data, separating the initial array into multiple lines",
Which of the following describes how multiple Snowflake accounts in a single organization relate to various cloud providers?,multiple-choice,A. Each Snowflake account can be hosted in a different cloud vendor and region.,B. Each Snowflake account must be hosted in a different cloud vendor and region.,C. All Snowflake accounts must be hosted in the same cloud vendor and region.,"D. Each Snowflake account can be hosted in a different cloud vendor, but must be in the same region.",,,,,,,,,,,,1,"I think A
The cloud platform you choose for each Snowflake account is completely independent from your other Snowflake accounts. In fact, you can choose to host each Snowflake account on a different platform, although this may have some impact on data transfer billing when loading data.  https://docs.snowflake.com/en/user-guide/intro-cloud-platforms.html",
"If a Snowflake user decides a table should be clustered, what should be used as the cluster key?",multiple-choice,A. The columns that are queried in the select clause.,B. The columns with very high cardinality.,C. The columns with many different values.,D. The columns most actively used in the select filters.,,,,,,,,,,,,4,"correct
D is correct answer.  Snowflake recommends prioritizing keys in the order below:  Cluster columns that are most actively used in selective filters. For many fact tables involved in date-based queries (for example “WHERE invoice_date > x AND invoice date <= y”), choosing the date column is a good idea. For event tables, event type might be a good choice, if there are a large number of different event types. (If your table has only a small number of different event types, then see the comments on cardinality below before choosing an event column as a clustering key.)  If there is room for additional cluster keys, then consider columns frequently used in join predicates, for example “FROM table1 JOIN table2 ON table2.column_A = table1.column_B”.
D correct",
What are value types that a VARIANT column can store? (Choose two.),multi-select,A. STRUCT,B. OBJECT,C. BINARY,D. ARRAY,E. CLOB,,,,,,,,,,,"2, 4","Answer : OBJECT and ARRAY
BD is correct.  https://docs.snowflake.com/en/sql-reference/data-types-semistructured",
"A company needs to read multiple terabytes of data for an initial load as part of a Snowflake migration. The company can control the number and size of CSV extract files.

How does Snowflake recommend maximizing the load performance?",multiple-choice,A. Use auto-ingest Snowpipes to load large files in a serverless model.,"B. Produce the largest files possible, reducing the overall number of files to process.",C. Produce a larger number of smaller files and process the ingestion with size Small virtual warehouses.,D. Use an external tool to issue batched row-by-row inserts within BEGIN TRANSACTION and COMMIT commands.,,,,,,,,,,,,3,"c i think  https://www.analytics.today/blog/top-3-snowflake-performance-tuning-tactics#:~:text=Avoid%20Scanning%20Files&text=Before%20copying%20data%2C%20Snowflake%20checks,that%20have%20already%20been%20loaded.
https://www.snowflake.com/blog/best-practices-for-data-ingestion/ I think A is correct",
"For non-materialized views, what column in Information Schema and Account Usage identifies whether a view is secure or not?",multiple-choice,A. CHECK_OPTION,B. IS_SECURE,C. IS_UPDATEABLE,D. TABLE_NAME,,,,,,,,,,,,2,"correct
https://docs.snowflake.com/en/user-guide/views-secure#determining-if-a-view-is-secure
Answer is correct",
The bulk data load history that is available upon completion of the COPY statement is stored where and for how long?,multiple-choice,A. In the metadata of the target table for 14 days,B. In the metadata of the pipe for 14 days,C. In the metadata of the target table for 64 days,D. In the metadata of the pipe for 64 days,,,,,,,,,,,,3,"Correct Answer : C https://docs.snowflake.com/en/user-guide/data-load-snowpipe-intro.html#load-history
Bulk data load Stored in the metadata of the target table for 64 days. Available upon completion of the COPY statement as the statement output.  https://docs.snowflake.com/en/user-guide/data-load-snowpipe-intro.html#load-history",
"User INQUISITIVE_PERSON has been granted the role DATA_SCIENCE. The role DATA_SCIENCE has privileges OWNERSHIP on the schema MARKETING of the database ANALYTICS_DW.

Which command will show all privileges granted to that schema?",multiple-choice,A. SHOW GRANTS ON ROLE DATA_SCIENCE,B. SHOW GRANTS ON SCHEMA ANALYTICS_DW.MARKETING,C. SHOW GRANTS TO USER INQUISITIVE_PERSON,D. SHOW GRANTS OF ROLE DATA_SCIENCE,,,,,,,,,,,,2,"correct
SHOW GRANTS ON DATABASE, WAREHOUSE, SCHEMA name
https://docs.snowflake.com/en/sql-reference/sql/show-grants#variants",
Which of the following are characteristics of security in Snowflake?,multiple-choice,A. Account and user authentication is only available with the Snowflake Business Critical edition.,B. Support for HIPAA and GDPR compliance is available for UI Snowflake editions.,C. Periodic rekeying of encrypted data is available with the Snowflake Enterprise edition and higher,D. Private communication to internal stages is allowed in the Snowflake Enterprise edition and higher.,,,,,,,,,,,,3,"Correct
https://docs.snowflake.com/en/user-guide/intro-editions.html",
Which of the following objects can be shared through secure data sharing?,multiple-choice,A. Masking policy,B. Stored procedure,C. Task,D. External table,,,,,,,,,,,,4,The following Snowflake database objects can be shared:  Tables External tables Secure views Secure materialized views Secure UDFs,
